Successful House, Unsuccessful House
Empty Dish Washer,	Put Away Dishes
Empty The Dish Drying Rack,	Empty General Bin
Clean The Dish Drying Rack,	Empty Recycling Bin
Clean The Sink Counter And Basin,	Mop Living Room/Kitchen Floor
Empty Trash/Recycling Bins,	Hoover Living Kitchen/Room
Trash Pickup,	Mop Floor In Both Bathrooms
Clean Microwave,	Clean Sinks In Both Bathrooms
Clean Cooking Hood,	Clean Toilette Both Bathrooms
Clean Stove Top Counter,	Clean Toilet In Bathroom 1
Deep Clean Stove Top,	Clean Shower In Bathroom 1
Clean The Floors Of The Kitchen Area,	Clean Shower In Bathroom 2
Clean Windows,
Buy $12 Ish Dollars Of House Supplies,
Buy $24 Dollars Worth Of House Supplies,
